id_agente,total_casos,casos_ganados,casos_perdidos,winrate
1,1237,558,679,45.10913500404204
2,1382,680,702,49.2040520984081
3,586,292,294,49.829351535836174
4,1448,714,734,49.30939226519337
5,1016,509,507,50.09842519685039
6,153,82,71,53.59477124183007
7,1248,613,635,49.118589743589745
8,1511,680,831,45.00330906684315
9,117,59,58,50.427350427350426
10,739,371,368,50.20297699594046
11,1637,789,848,48.1979230299328
12,844,391,453,46.327014218009474
13,947,458,489,48.36325237592397
14,1023,505,518,49.364613880742915
16,557,245,312,43.98563734290844
17,66,42,24,63.63636363636363
19,151,68,83,45.033112582781456
20,629,292,337,46.42289348171701
22,395,199,196,50.37974683544304
23,429,211,218,49.184149184149184
24,1385,671,714,48.44765342960289
25,139,63,76,45.32374100719424
26,692,327,365,47.25433526011561
30,262,129,133,49.23664122137404
32,1273,603,670,47.368421052631575
33,1379,677,702,49.09354604786077
35,599,302,297,50.41736227045075
37,1082,534,548,49.35304990757856
38,458,225,233,49.12663755458515
39,1526,708,818,46.395806028833555
42,376,183,193,48.67021276595745
43,805,394,411,48.94409937888199
44,1630,746,884,45.766871165644176
45,815,418,397,51.288343558282214
46,14,7,7,50.0
47,250,129,121,51.6
49,545,250,295,45.87155963302752
54,1482,738,744,49.797570850202426
55,221,98,123,44.34389140271493
56,507,238,269,46.942800788954635
57,1032,497,535,48.15891472868217
58,1169,514,655,43.969204448246366
59,702,327,375,46.58119658119658
62,207,96,111,46.3768115942029
64,701,349,352,49.78601997146933
65,1404,725,679,51.63817663817664
67,251,123,128,49.00398406374502
68,197,86,111,43.65482233502538
69,869,419,450,48.216340621403916
71,7,5,2,71.42857142857143
72,1148,532,616,46.34146341463415
73,1040,475,565,45.67307692307692
74,993,511,482,51.46022155085599
75,921,442,479,47.99131378935939
76,1013,473,540,46.692991115498515
77,3,2,1,66.66666666666666
78,292,154,138,52.73972602739726
79,425,188,237,44.23529411764706
80,352,158,194,44.88636363636363
82,1126,545,581,48.40142095914742
83,1059,500,559,47.21435316336166
85,723,311,412,43.015214384508994
86,191,97,94,50.78534031413613
87,618,295,323,47.73462783171521
90,12,8,4,66.66666666666666
91,1002,501,501,50.0
92,1017,473,544,46.50934119960669
94,789,387,402,49.049429657794676
95,1069,528,541,49.39195509822264
100,219,104,115,47.48858447488584
101,444,206,238,46.3963963963964
103,1101,562,539,51.044504995458674
104,37,20,17,54.054054054054056
105,110,57,53,51.81818181818182
106,872,431,441,49.42660550458716
107,758,378,380,49.86807387862797
108,98,48,50,48.97959183673469
110,638,344,294,53.91849529780565
111,661,324,337,49.016641452344935
112,711,313,398,44.0225035161744
115,1012,461,551,45.55335968379446
117,58,30,28,51.724137931034484
118,1043,517,526,49.56855225311601
119,30,18,12,60.0
121,1027,522,505,50.82765335929893
122,1174,557,617,47.44463373083475
123,168,89,79,52.976190476190474
124,235,126,109,53.61702127659574
126,1,0,1,0.0
127,992,504,488,50.806451612903224
128,980,461,519,47.04081632653061
129,489,246,243,50.306748466257666
132,1242,593,649,47.74557165861514
133,1194,572,622,47.90619765494137
134,859,428,431,49.825378346915016
136,952,464,488,48.739495798319325
137,37,21,16,56.75675675675676
139,1142,548,594,47.98598949211909
140,18,8,10,44.44444444444444
141,166,80,86,48.19277108433735
142,129,62,67,48.06201550387597
143,132,70,62,53.03030303030303
144,734,342,392,46.59400544959128
145,877,412,465,46.97833523375142
146,129,76,53,58.91472868217055
147,578,272,306,47.05882352941176
150,246,127,119,51.6260162601626
151,715,365,350,51.048951048951054
154,536,259,277,48.32089552238806
155,897,440,457,49.05239687848383
156,1153,537,616,46.57415437987858
157,110,56,54,50.90909090909091
158,238,109,129,45.79831932773109
159,91,46,45,50.54945054945055
161,296,150,146,50.67567567567568
162,924,425,499,45.995670995671
163,712,363,349,50.98314606741573
165,12,7,5,58.333333333333336
167,1067,517,550,48.45360824742268
168,1220,597,623,48.9344262295082
169,14,5,9,35.714285714285715
170,1171,571,600,48.76174210076857
171,11,3,8,27.27272727272727
172,1539,767,772,49.837556855100715
174,1299,629,670,48.421862971516546
